"lang"
{
	"Language"		"English"
"DOTA_Tooltip_ability_fireblade_burn_offering"							"Burn Offering"
"DOTA_Tooltip_ability_fireblade_burn_offering_Description"				"Fireblade after little delay deal damage to all enemies around him."
"DOTA_Tooltip_ability_fireblade_burn_offering_damage"					"DAMAGE:"
"DOTA_Tooltip_ability_fireblade_burn_offering_radius"					"RADIUS:"

"DOTA_Tooltip_Ability_fireblade_firestrip"								"Firestrip"
"DOTA_Tooltip_Ability_fireblade_firestrip_Description"					"Hero attacks everybody around him. Attack will deal bonus magical damage to enemies."
"DOTA_Tooltip_Ability_fireblade_firestrip_bonus_damage"					"BONUS DAMAGE:"
"DOTA_Tooltip_Ability_fireblade_firestrip_radius"						"RADIUS:"

"DOTA_Tooltip_ability_fireblade_talent_ignition_no_dmg"					"Weapon Ignition didn't damage youself"
"DOTA_Tooltip_ability_fireblade_talent_smoldering_half_mana"			"Smoldering consume 1/4 mana"
"DOTA_Tooltip_ability_fireblade_talent_weapon_bonus_damage"				"+60 damage to Weapon Ignition"
"DOTA_Tooltip_ability_fireblade_talent_weapon_bonus_duration"			"+6 seconds burn to Weapon Ignition"
"DOTA_Tooltip_ability_fireblade_talent_sheild_block"					"+500 block damage to Fiery Sheild"
"DOTA_Tooltip_ability_fireblade_talent_burn_offering_damage"			"Burn Offering deal damage from attack"
"DOTA_Tooltip_ability_fireblade_talent_firestrip_unique"				"Unique attack modif. now works on Firestrip"
"DOTA_Tooltip_ability_fireblade_talent_firestrip_cooldown"				"-10sec. cooldown to Firestrip"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\fireblade.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\furion.txt' begin 
"DOTA_Tooltip_ability_furion_nature_wraith"							"Nature's Wrath"
"DOTA_Tooltip_ability_furion_nature_wraith_Description"				"Nature Prophet becomes enraged, increasing his attack speed and base attack time."
"DOTA_Tooltip_ability_furion_nature_wraith_Lore"					"Having watched the destruction of nature, Nature Prophet becomes enraged."
"DOTA_Tooltip_ability_furion_nature_wraith_bat"						"BASE ATTACK TIME::"
"DOTA_Tooltip_ability_furion_nature_wraith_attack_speed"			"ATTACK SPEED:"
"DOTA_Tooltip_ability_furion_nature_wraith_duration"				"DURATION:"

"DOTA_Tooltip_modifier_nature_wraith_active"						"Nature's Wrath"
"DOTA_Tooltip_modifier_nature_wraith_active_Description"			"BAT increased, attack speed increased, grants spell immuninty."
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\furion.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\gun_joe.txt' begin 
"npc_dota_hero_sniper"													"Gun Joe"
"DOTA_Tooltip_ability_angel_arena_rifle"								"Toggle Rifle"
"DOTA_Tooltip_ability_angel_arena_rifle_Description"					"Toggle between Rifle Mode or Machine-Gun mode. While in Machine-Gun mode, some item effects will be disabled (such as bash). Magical damage from some items too decreases."
"DOTA_Tooltip_ability_angel_arena_rifle_gun_base_attack_time"			"GUN BASE ATTACK:"
"DOTA_Tooltip_ability_angel_arena_rifle_gun_range_tooltip"				"GUN RANGE:"
"DOTA_Tooltip_ability_angel_arena_rifle_gun_bonus_attack"				"%GUN ATTACK PENALTY:"
"DOTA_Tooltip_ability_angel_arena_rifle_gun_bonus_movespeed"			"GUN MOVEMENT SLOW:"

"DOTA_Tooltip_ability_angel_arena_rifle_rifle_base_attack_time"			"RIFLE BASE ATTACK:"
"DOTA_Tooltip_ability_angel_arena_rifle_rifle_range_tooltip"			"RIFLE RANGE:"
"DOTA_Tooltip_ability_angel_arena_rifle_rifle_bonus_movespeed"			"RIFLE MOVESPEED BONUS:"
"DOTA_Tooltip_ability_angel_arena_rifle_bonus_attack"					"RIFLE BONUS DAMAGE:"

"DOTA_Tooltip_ability_gun_joe_rapid"									"Rapid"
"DOTA_Tooltip_ability_gun_joe_rapid_Description"						"When Gun Joe does not take damage from heroes he will increase his movespeed and attack speed"
"DOTA_Tooltip_ability_gun_joe_rapid_bonus_attackspeed"					"BONUS ATTACKSPEED:"
"DOTA_Tooltip_ability_gun_joe_rapid_bonus_movespeed"					"BONUS MOVESPEED:"

"DOTA_Tooltip_Ability_gun_joe_explosive"								"Explosive Bullets"
"DOTA_Tooltip_Ability_gun_joe_explosive_Description"					"Gun Joe loads some explosive bullets that deal damage in an area with every shot."
"DOTA_Tooltip_Ability_gun_joe_explosive_stack_count"					"SHOTS:"
"DOTA_Tooltip_Ability_gun_joe_explosive_bonus_damage"					"DAMAGE:"
"DOTA_Tooltip_Ability_gun_joe_explosive_radius"							"RADIUS:"

"DOTA_Tooltip_ability_angel_arena_gunpowder"							"Gun Joe"
"DOTA_Tooltip_ability_angel_arena_gunpowder_Description"				"Hero becomes magic-immune and gains 100% evasion. True-strike does not help. Run if you can."
"DOTA_Tooltip_ability_angel_arena_gunpowder_duration"					"DURATION:"
"DOTA_Tooltip_modifier_gunpowder"										"Gun Joe"
"DOTA_Tooltip_modifier_gunpowder_Description"							"Gun Joe has found you!"

"DOTA_Tooltip_Ability_gun_joe_special_bonus_rapid_cd"					"-2 seconds to Rapid cooldown"
"DOTA_Tooltip_Ability_gun_joe_special_bonus_explosive_bullets_cd"		"-8 seconds to Explosive Bullets cooldown"
"DOTA_Tooltip_Ability_gun_joe_special_bonus_explosive_bullets_stack"	"+4 shots to Explosive Bullets"
"DOTA_Tooltip_Ability_gun_joe_special_bonus_explosive_bullets_radius"	"+200 radius to Explosive Bullets AOE"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\gun_joe.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\gyrocopter.txt' begin 
"DOTA_Tooltip_ability_gyrocopter_rocket_barrage_damage_pct"			"%DAMAGE FROM AGI:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\gyrocopter.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\hola.txt' begin 
"npc_dota_hero_keeper_of_the_light"									"Hola"

"DOTA_Tooltip_ability_hola_stunhammer"								"Hola Hammer"
"DOTA_Tooltip_ability_hola_stunhammer_Description"					"Throw a Hola Hammer at targeted unit, stunning every enemy within its radius. Can be dodged."
"DOTA_Tooltip_ability_hola_stunhammer_bolt_aoe"						"RADIUS:"
"DOTA_Tooltip_ability_hola_stunhammer_bolt_damage"					"DAMAGE:"
"DOTA_Tooltip_ability_hola_stunhammer_bolt_stun_duration"			"STUN DURATION:"

"DOTA_Tooltip_ability_hola_stomp"									"The Saint's Rage"
"DOTA_Tooltip_ability_hola_stomp_Description"						"All enemies within range have their movement speed reduced, take damage, and all allies within range are healed."
"DOTA_Tooltip_ability_hola_stomp_radius"							"RADIUS:"
"DOTA_Tooltip_ability_hola_stomp_slow_percent"						"%SLOW:"
"DOTA_Tooltip_ability_hola_stomp_damage"							"DAMAGE:"
"DOTA_Tooltip_ability_hola_stomp_heal"								"HEAL:"
"DOTA_Tooltip_ability_hola_stomp_heal_percent"						"%HEAL:"
"DOTA_Tooltip_ability_hola_stomp_slow_time"							"SLOW TIME:"

"DOTA_Tooltip_ability_hola_grace"									"Saint's Grace"
"DOTA_Tooltip_ability_hola_grace_Description"						"Heal the targeted allied unit within range and reduce their damage taken for a short duration."
"DOTA_Tooltip_ability_hola_grace_heal"								"HEAL:"
"DOTA_Tooltip_ability_hola_grace_duration"							"DURATION:"

"DOTA_Tooltip_ability_hola_rescure"									"Hola Rescure"
"DOTA_Tooltip_ability_hola_rescure_Description"						"Hola saves all allies in radius for a short time."
"DOTA_Tooltip_ability_hola_rescure_duration"						"DURATION:"
"DOTA_Tooltip_ability_hola_rescure_radius"							"RADIUS:"

"DOTA_Tooltip_ability_hola_special_bonus_heal"						"3 skill will heal Hola on dealed damage"
"DOTA_Tooltip_ability_hola_special_bonus_ultimate"					"Ultimate apply 2 skill to allies"

"DOTA_Tooltip_modifier_grace_damage_reduce"							"Damage reduced"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\hola.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\jakiro.txt' begin 
"DOTA_Tooltip_ability_jakiro_dual_breath_damage_pct"				"%DAMAGE FROM INT:"
"DOTA_Tooltip_ability_jakiro_ice_path_damage_pct"					"%DAMAGE FROM INT:"
"DOTA_Tooltip_ability_jakiro_liquid_fire_damage_pct"				"%DAMAGE FROM INT:"
"DOTA_Tooltip_ability_jakiro_macropyre_damage_pct"					"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\jakiro.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\joe_black.txt' begin 
"npc_dota_hero_vengefulspirit"									"Joe Black"
"DOTA_Tooltip_ability_joe_black_face_of_death"					"Face of Death"
"DOTA_Tooltip_ability_joe_black_face_of_death_Description"		"Death strikes the enemy, dealing damage to it and healing allies."
"DOTA_Tooltip_ability_joe_black_face_of_death_damage"			"HEAL/DMG:"
"DOTA_Tooltip_ability_joe_black_face_of_death_heal_percent"		"%HEAL/DMG:"
"DOTA_Tooltip_ability_joe_black_face_of_death_radius"			"AOE:"

"DOTA_Tooltip_ability_joe_black_protection"						"Protection"
"DOTA_Tooltip_ability_joe_black_protection_Description"			"Joe Black blesses an ally, purging all negatives effects and decrease incoming damage for a time."
"DOTA_Tooltip_ability_joe_black_protection_damage_reduction"	"%DAMAGE DECREASE:"
"DOTA_Tooltip_ability_joe_black_protection_duration"			"DURATION:"
"DOTA_Tooltip_modifier_joe_black_protection"					"Protection of Death"
"DOTA_Tooltip_modifier_joe_black_protection_Description"		"Under the protection of Death."

"DOTA_Tooltip_ability_joe_black_sleep"							"Terrible Nightmare"
"DOTA_Tooltip_ability_joe_black_sleep_Description"				"Imposes sleep on the enemy unit. 'Prepare for your worst nightmares' said Death."
"DOTA_Tooltip_ability_joe_black_sleep_duration"					"DURATION:"
"DOTA_Tooltip_ability_joe_black_sleep_cast_range_tooltip"		"RANGE:"

"DOTA_Tooltip_ability_joe_black_song" 							"Song of Death"
"DOTA_Tooltip_ability_joe_black_song_Description"				"Force every enemy unit in range to fear death, making them miss every attack and silencing them."
"DOTA_Tooltip_ability_joe_black_song_duration"					"DURATION:"
"DOTA_Tooltip_ability_joe_black_song_radius"					"RADIUS:"

"DOTA_Tooltip_ability_joe_black_special_unique_cooldown"		"-4 seconds cooldown Face of Death"
"DOTA_Tooltip_ability_joe_black_special_unique_aoe"				"+350 AOE radius to Face of Death"
"DOTA_Tooltip_ability_joe_black_special_protection"				"Protection gives spell immunity"
"DOTA_Tooltip_ability_joe_black_special_song"					"Song now heals allies for 20% health per second"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\joe_black.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\juggenaut.txt' begin 
"DOTA_Tooltip_ability_juggernaut_blade_fury_damage_pct_tooltip"		"%DAMAGE FROM AGI:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\juggenaut.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\kunkka.txt' begin 
"DOTA_Tooltip_ability_kunkka_ghostship_damage_pct"					"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\kunkka.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\leshrac.txt' begin 
"DOTA_Tooltip_ability_leshrac_lightning_storm_damage_pct"			"INT MULTIPLER:"
"DOTA_Tooltip_ability_leshrac_pulse_nova_damage_pct"				"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\leshrac.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\lich.txt' begin 
"DOTA_Tooltip_ability_lich_vampire"									"Frost Life"
"DOTA_Tooltip_ability_lich_vampire_Description"						"The Lich steals life on each hit. Can be activated to give to all ally in radius 300 the same effect."
"DOTA_Tooltip_ability_lich_vampire_lifesteal"						"%HEAL:"
"DOTA_Tooltip_ability_lich_vampire_duration"						"ALLY DURATION:"
"DOTA_Tooltip_modifier_lich_vampire_active"							"STEAL THEIR LIVE!"
"DOTA_Tooltip_modifier_lich_vampire_active"							"Total Lifesteal"
"DOTA_Tooltip_ability_lich_chain_frost_damage_pct"					"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\lich.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\lina.txt' begin 
"DOTA_Tooltip_ability_lina_laguna_blade_damage_pct"					"%DAMAGE FROM INT:"
"DOTA_Tooltip_ability_lina_light_strike_array_damage_by_int"		"INT MULTIPLIER:"
"DOTA_Tooltip_ability_lina_dragon_slave_damage_by_int"				"INT MULTIPLIER:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\lina.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\lion.txt' begin 
"DOTA_Tooltip_ability_lion_finger_of_death_damage_pct"				"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\lion.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\lone_druid.txt' begin 
"DOTA_Tooltip_ability_separation_of_souls_bear"						"Merging Of Souls"
"DOTA_Tooltip_ability_separation_of_souls_bear_Description"			"The souls of the bear and druid merge, which gives the bear a part of the attack, armor and attack speed of the druid."
"DOTA_Tooltip_ability_separation_of_souls_bear_bonus_attack"		"%DAMAGE INCREASE:"
"DOTA_Tooltip_ability_separation_of_souls_bear_bonus_armor"			"%ARMOR INCREASE:"
"DOTA_Tooltip_ability_separation_of_souls_bear_bonus_aspeed"		"%ATTACK SPEED INCREASE:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\lone_druid.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\luna.txt' begin 
"DOTA_Tooltip_ability_luna_lucent_beam_damage_pct"					"%DAMAGE FROM AGILITY:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\luna.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\mirana.txt' begin 
"DOTA_Tooltip_ability_mirana_overskill"								"Overskill"
"DOTA_Tooltip_ability_mirana_overskill_Description"					"The amazing mastery of Mirana allows to multiply her agility."
"DOTA_Tooltip_ability_mirana_overskill_multipler"					"AGILITY MULTIPLER:"
"DOTA_Tooltip_ability_mirana_overskill_duration"					"DURATION:"

"DOTA_Tooltip_modifier_mirana_overskill_active"						"Overskill"
"DOTA_Tooltip_modifier_mirana_overskill_active_Description"			"Agility multipled"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\mirana.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\naga_siren.txt' begin 
"DOTA_Tooltip_ability_naga_siren_rip_tide_damage_pct"				"%DAMAGE FROM AGI:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\naga_siren.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\nightstalker.txt' begin 
"DOTA_Tooltip_ability_angel_arena_night_vampire"						"Night Hunter"
"DOTA_Tooltip_ability_angel_arena_night_vampire_Description"			"Decreases base attack time and heals you for every kill. Heal amount depends on the max health of enemy and the time of day.(Day or Night)"
"DOTA_Tooltip_ability_angel_arena_night_vampire_bonus_day"				"%DAY HEAL:"
"DOTA_Tooltip_ability_angel_arena_night_vampire_bonus_night"			"%NIGHT HEAL:"
"DOTA_Tooltip_ability_angel_arena_night_vampire_base_attack_time"		"Base Attack Time:"

"DOTA_Tooltip_ability_night_stalker_darkness_blind_percentage"			"%BLIND:"

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\nightstalker.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\nyx.txt' begin 
"DOTA_Tooltip_ability_nyx_assassin_impale_damage_pct"				"%DAMAGE FROM AGI:"
"DOTA_Tooltip_ability_nyx_assassin_vendetta_damage_pct"				"%DAMAGE FROM AGI(MAGICAL):"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\nyx.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\ogre_magi.txt' begin 
"DOTA_Tooltip_ability_ogre_magi_fireblast_damage_pct"				"%DAMAGE FROM INT:"
"DOTA_Tooltip_ability_ogre_magi_ignite_damage_pct"					"%DAMAGE FROM INT:"
"DOTA_Tooltip_ability_ogre_magi_ignite_damage_pct_creep"			"%DAMAGE FROM INT TO CREEPS:"
"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_damage_pct"		"%DAMAGE:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\ogre_magi.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\omniknight.txt' begin 
"DOTA_Tooltip_ability_omniknight_purification_heal_percent"			"%HEAL FROM STR:"
"DOTA_Tooltip_ability_omniknight_purification_damage_percent"		"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\omniknight.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\oracle.txt' begin 
"DOTA_Tooltip_ability_oracle_fortunes_end_damage_pct"				"%DAMAGE FROM INT:"
"DOTA_Tooltip_ability_oracle_purifying_flames_damage_pct"			"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\oracle.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\phantom_assassin.txt' begin 
"DOTA_Tooltip_ability_angel_arena_agility_breaker"				"Agility Breaker"
"DOTA_Tooltip_ability_angel_arena_agility_breaker_Description"	"Increase agility of phantom assassin for every kill."
"DOTA_Tooltip_ability_angel_arena_agility_breaker_bonus_agi"	"AGILITY:"

"DOTA_Tooltip_modifier_angel_arena_agility_stack"				"Agility Breaker"
"DOTA_Tooltip_modifier_angel_arena_agility_stack_Description"	"Gets %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%% bonus agility"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\phantom_assassin.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\phantom_lancer.txt' begin 
"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_damage_pct"		"%DAMAGE FROM AGILITY:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\phantom_lancer.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\puck.txt' begin 
"DOTA_Tooltip_ability_puck_illusory_orb_damage_pct"					"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\puck.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\pudge.txt' begin 
"DOTA_Tooltip_ability_pudge_rot_rot_damage_str"						"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_pudge_meat_hook_damage_pct"					"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\pudge.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\pugna.txt' begin 
"DOTA_Tooltip_ability_pugna_life_drain_damage_pct"					"%DAMAGE FROM INT:"
"DOTA_Tooltip_ability_pugna_nether_blast_damage_pct"				"%DAMAGE FROM INT:"
"DOTA_Tooltip_ability_pugna_nether_ward_damage_by_int"				"DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\pugna.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\queen_of_pain.txt' begin 
"DOTA_Tooltip_ability_queenofpain_scream_of_pain_damage_pct"		"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\queen_of_pain.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\reaver_lord.txt' begin 
"npc_dota_hero_terrorblade"												"Reaver Lord"
"DOTA_Tooltip_ability_reaver_lord_soul_collector"						"Soul Collector"
"DOTA_Tooltip_ability_reaver_lord_soul_collector_Description"			"Reaver Lord can steals the souls of enemy heroes he attacks multiple times or kills. Occasionally creeps drop souls."
"DOTA_Tooltip_ability_reaver_lord_soul_collector_max_souls"				"MAX SOULS:"
"DOTA_Tooltip_ability_reaver_lord_soul_collector_soul_per_hero_kill"	"SOUL BY HERO KILL:"
"DOTA_Tooltip_ability_reaver_lord_soul_collector_creeps_per_soul"		"CREEPS BY SOUL:"
"DOTA_Tooltip_ability_reaver_lord_soul_collector_souls_per_attacks"		"ATTACKS TO SOUL:"
"DOTA_Tooltip_ability_reaver_lord_soul_collector_soul_duration"			"SOUL DURATION:"
"DOTA_Tooltip_modifier_reaver_lord_soul_collector_soul"					"Souls"
"DOTA_Tooltip_modifier_reaver_lord_soul_collector_soul_Description"		"Has stolen several souls."

"DOTA_Tooltip_ability_reaver_lord_superiority_instinct"					"Superiority Complex"
"DOTA_Tooltip_ability_reaver_lord_superiority_instinct_Description"		"If Reaver Lord has a higher percentage of life than the enemy he gets addiditional lifesteal and gains damage for every stolen soul."
"DOTA_Tooltip_ability_reaver_lord_superiority_instinct_damage_const"	"DAMAGE:"
"DOTA_Tooltip_ability_reaver_lord_superiority_instinct_damage_pct"		"%DAMAGE:"
"DOTA_Tooltip_ability_reaver_lord_superiority_instinct_lifesteal"		"%LIFESTEAL:"
"DOTA_Tooltip_modifier_reaver_lord_instinct_lifesteal"					"Superiority Complex"
"DOTA_Tooltip_modifier_reaver_lord_instinct_lifesteal_Description"		"Grants attack and lifesteal."

"DOTA_Tooltip_ability_reaver_lord_soul_devour"							"Devour"
"DOTA_Tooltip_ability_reaver_lord_soul_devour_Description"				"Reaver Lord devours the enemies soul slow it's attack speed and movespeed. After 4 second he gains one soul. Reaver lord will heal from dealed damage."
"DOTA_Tooltip_ability_reaver_lord_soul_devour_damage_pct"				"%DAMAGE:"
"DOTA_Tooltip_ability_reaver_lord_soul_devour_movespeed_slow"			"%SLOW:"
"DOTA_Tooltip_ability_reaver_lord_soul_devour_attackspeed_slow"			"ATTACK SLOW:"
"DOTA_Tooltip_ability_reaver_lord_soul_devour_range"					"RANGE:"
"DOTA_Tooltip_ability_reaver_lord_soul_devour_duration"					"DURATION:"

"DOTA_Tooltip_modifier_reaver_lord_soul_devour_debuff"					"Stealing Soul"

"DOTA_Tooltip_ability_reaver_lord_soul_burn"							"Soul Burn"
"DOTA_Tooltip_ability_reaver_lord_soul_burn_Description"				"After a small delay, Reaver Lord burns all souls he has collected and causes a explosion on all enemies in medium radius. The Explosion deals damage for every soul that is burned in addition to a percentage of the max health of the victim."
"DOTA_Tooltip_ability_reaver_lord_soul_burn_damage"						"DAMAGE PER SOUL:"
"DOTA_Tooltip_ability_reaver_lord_soul_burn_damage_pct"					"%DAMAGE FROM MAX HP:"
"DOTA_Tooltip_ability_reaver_lord_soul_burn_radius"						"RADIUS:"

"DOTA_Tooltip_ability_reaver_lord_twink"								"Twink"
"DOTA_Tooltip_ability_reaver_lord_twink_Description"					"Reaver Lord can blink to a point."
"DOTA_Tooltip_ability_reaver_lord_twink_range"							"RANGE:"
"DOTA_Tooltip_ability_reaver_lord_special_bonus_blink_range"			"+800 Blink range to Twink"

"DOTA_Tooltip_ability_reaver_lord_attract"								"Attract & Destroy"
"DOTA_Tooltip_ability_reaver_lord_attract_Description"					"Reaver Lord pulls everybody in range to himself and bring down his rage, stunning enemies and dealing damage for every unit and creep. Requires the maximum amount of souls."
"DOTA_Tooltip_ability_reaver_lord_attract_radius"						"RADIUS:"
"DOTA_Tooltip_ability_reaver_lord_attract_damage_by_hero"				"DMG PER HERO:"
"DOTA_Tooltip_ability_reaver_lord_attract_damage_by_creep"				"DMG PER CREEP:"
"DOTA_Tooltip_ability_reaver_lord_attract_damage_pct"					"%DMG OF MAX HP:"
"DOTA_Tooltip_ability_reaver_lord_attract_stun_duration"				"STUN DURATION:"
"DOTA_Tooltip_modifier_reaver_lord_attract_debuff"						"CAUGHT"
"DOTA_Tooltip_ability_reaver_lord_special_bonus_no_souls"				"Attract & Destroy not require souls"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\reaver_lord.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\rubick.txt' begin 
"DOTA_Tooltip_ability_special_bonus_unique_rubick_4"					"-8s Telekinesis Cooldown"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\rubick.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\sandking.txt' begin 
"DOTA_Tooltip_ability_sandking_sand_storm_damage_pct"				"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_sandking_caustic_finale_damage_pct"			"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_sandking_epicenter_damage_pct"				"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\sandking.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\satan.txt' begin 
"npc_dota_hero_doom_bringer"											"Satan"

"DOTA_Tooltip_ability_satan_might"										"Satan's Might"
"DOTA_Tooltip_ability_satan_might_Description"							"Chance to stun attackers or return tdamage to them."
"DOTA_Tooltip_ability_satan_might_chance"								"%CHANCE:"
"DOTA_Tooltip_ability_satan_might_stun_duration"						"STUN DURATION:"
"DOTA_Tooltip_ability_satan_might_radius"								"RADIUS:"

"DOTA_Tooltip_ability_satan_breath"										"Devil's Breath"
"DOTA_Tooltip_ability_satan_breath_Description"							"Satan burns all enemies in front of him. Damage against creeps is multiplied."
"DOTA_Tooltip_ability_satan_breath_range"								"RANGE:"
"DOTA_Tooltip_ability_satan_breath_damage"								"DAMAGE:"
